pope,year,type,filename,url
Paul VI,1971,Ordinary General,Justicia_in_Mundo_SYNOD.txt,https://www.cctwincities.org/wp-content/uploads/2015/10/Justicia-in-Mundo.pdf
Paul VI,1974,Ordinary General,Evangelii_Nuntiandi_SYNOD.txt,http://w2.vatican.va/content/paul-vi/en/apost_exhortations/documents/hf_p-vi_exh_19751208_evangelii-nuntiandi.html
John Paul II,1977,Ordinary General,Catechesi_Tradendae_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_16101979_catechesi-tradendae.html
John Paul II,1980,Ordinary General,Familiaris_Consortio_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_19811122_familiaris-consortio.html
John Paul II,1983,Ordinary General,Reconciliatio_et_Paenitentia_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_02121984_reconciliatio-et-paenitentia.html
John Paul II,1987,Ordinary General,Christifideles_Laici_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_30121988_christifideles-laici.html
John Paul II,1990,Ordinary General,Pastores_Dabo_Vobis_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_25031992_pastores-dabo-vobis.html
John Paul II,1994,Ordinary General,Vita_Consecrata_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_25031996_vita-consecrata.html
John Paul II,2001,Ordinary General,Pastores_Gregis_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_20031016_pastores-gregis.html
Benedict XVI,2005,Ordinary General,Sacramentum_Caritatis_SYNOD.txt,http://w2.vatican.va/content/benedict-xvi/en/apost_exhortations/documents/hf_ben-xvi_exh_20070222_sacramentum-caritatis.html
Benedict XVI,2008,Ordinary General,Verbum_Domini_SYNOD.txt,http://w2.vatican.va/content/benedict-xvi/en/apost_exhortations/documents/hf_ben-xvi_exh_20100930_verbum-domini.html
Francis,2012,Ordinary General,Evangelii_Gaudium_SYNOD.txt,http://w2.vatican.va/content/francesco/en/apost_exhortations/documents/papa-francesco_esortazione-ap_20131124_evangelii-gaudium.html
Francis,2015,Ordinary General,Amoris_Laetitia_SYNOD.txt,https://w2.vatican.va/content/dam/francesco/pdf/apost_exhortations/documents/papa-francesco_esortazione-ap_20160319_amoris-laetitia_en.pdf
Francis,2018,Ordinary General,Christus_Vivit_SYNOD.txt,http://w2.vatican.va/content/francesco/en/apost_exhortations/documents/papa-francesco_esortazione-ap_20190325_christus-vivit.html
John Paul II,1985,Extraordinary General,1985_Extraordinary_SYNOD.txt,https://www.ewtn.com/catholicism/library/final-report-of-the-1985-extraordinary-synod-2561
Francis,2014,Extraordinary General,Relatio_Synodi_Familia_SYNOD.txt,http://www.vatican.va/roman_curia/synod/documents/rc_synod_doc_20141018_relatio-synodi-familia_en.html
John Paul II,1980,Special,Netherlands_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/nl/speeches/1980/january/documents/hf_jp-ii_spe_19800130_sinodo.html
John Paul II,1994,Special,Africa_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_14091995_ecclesia-in-africa.html
John Paul II,1995,Special,Lebanon_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/fr/apost_exhortations/documents/hf_jp-ii_exh_19970510_lebanon.html
John Paul II,1997,Special,America_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_22011999_ecclesia-in-america.html
John Paul II,1998,Special,Asia_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_06111999_ecclesia-in-asia.html
John Paul II,1998,Special,Oceania_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_20011122_ecclesia-in-oceania.html
John Paul II,1999,Special,Europe_SYNOD.txt,http://w2.vatican.va/content/john-paul-ii/en/apost_exhortations/documents/hf_jp-ii_exh_20030628_ecclesia-in-europa.html
Benedict XVI,2009,Special,Africa_Munus_SYNOD.txt,http://w2.vatican.va/content/benedict-xvi/en/apost_exhortations/documents/hf_ben-xvi_exh_20111119_africae-munus.html
Benedict XVI,2010,Special,Middle_East_SYNOD.txt,http://w2.vatican.va/content/benedict-xvi/en/apost_exhortations/documents/hf_ben-xvi_exh_20120914_ecclesia-in-medio-oriente.html
Francis,2019,Special,Pan_Amazon_SYNOD.txt,http://www.sinodoamazonico.va/content/sinodoamazonico/en/documents/pan-amazon-synod--the-working-document-for-the-synod-of-bishops.html